Age,Income
28,32832
64,69134
55,72870
68,69106
49,93587
38,95056
30,16808
69,71543
11,18823
30,35356
67,65405
38,97832
57,73955
12,18423
12,39907
24,27496
40,92239
66,64104
56,76328
26,12012
27,30370
26,12482
52,63765
21,27229
66,68309
31,92931
38,95947
37,85255
30,13589
24,32085
34,97655
43,94108
35,92315
14,23721
50,80082
62,53915
38,83557
53,68347
49,86154
34,96423
49,84769
18,32204
32,90157
41,82795
16,30137
59,59221
25,28262
16,23932
40,97191
66,71932
43,94654
25,21373
51,65977
62,67074
34,85103
26,10503
56,68373
66,51692
18,22487
38,96214
27,33332
63,79013
11,13431
53,71722
52,55231
67,40479
29,23351
19,35366
34,84162
61,49719
69,77298
53,50135
60,52382
52,70537
30,12016
42,88524
48,87410
22,25258
34,86891
58,42142
60,65193
27,29586
37,87205
32,97044
68,58695
12,20955
60,49433
39,94638
19,25529
48,90722
68,59857
13,35808
42,98672
58,50693
52,66780
54,62829
33,85596
59,77757
24,24348
46,81714
28,36524
17,14434
34,84725
61,67823
44,95963
36,99561
50,94303
32,96384
18,35855
16,34970
22,21784
41,89801
49,88948
40,97878
26,23180
50,93058
34,99811
55,65606
12,19829
57,79245
29,24455
70,58090
38,88602
63,65046
67,67479
70,67110
14,17832
42,94206
46,91341
34,90179
31,97616
68,73489
17,22139
33,95901
68,43802
21,15561
37,93138
59,47959
36,87318
36,98860
56,49192
21,36416
51,65846
12,31822
27,28994
70,45820
59,42296
25,15916
58,75790
19,12549
49,91674
34,90328
56,71345
25,16508
35,97036
45,93570
16,32556
28,13414
42,83099
18,31237
31,95382
47,97442
68,76846
40,89307
36,82178
37,83182
34,99012
56,70557
30,20852
65,60913
46,90845
22,18836
49,83479
68,51873
50,85258
35,98143
66,47441
16,27708
34,94637
32,81805
34,91443
35,90508
46,81904
50,80348
49,91788
17,18768
35,89693
14,21880
22,38959
70,53920
47,86765
57,70060
56,59002
54,61866
67,55569
12,15161
49,91217
46,91245
23,20376
43,85916
